0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0.0,15.8,16.31,27.13,24.0,32.74,33.28,3.26,33.74,34.13,35.9,31.57,17.7,8.46,34.25,34.61,34.04,35.25,34.86,36.52,34.43,45.86,43.35,41.43,45.54,40.32,41.99,14.19,38.25,38.66,9.9,19.98,21.29,27.08,30.79,31.45,18.94,3.92,35.36,27.43,27.58,36.52,36.52,34.35,209.23,46.93,9.9,14.85,15.12,36.9,37.57,38.62,38.62,36.73,36.73,37.68
16.53,0.0,7.52,18.15,14.23,18.53,20.71,18.66,24.52,24.91,26.68,21.91,9.69,19.31,24.6,24.96,24.39,25.6,25.2,26.87,27.03,28.55,26.04,24.12,28.23,23.01,24.68,10.52,25.68,26.1,10.49,26.22,19.73,9.77,13.48,14.14,10.92,13.57,25.71,17.74,17.22,26.87,26.87,20.26,191.92,37.28,10.49,2.69,2.91,27.25,27.92,28.97,28.97,27.08,27.08,25.11
16.19,8.39,0.0,13.52,10.38,19.19,19.66,19.25,20.12,20.51,22.28,17.95,2.45,23.91,20.63,20.99,20.42,21.64,21.24,22.9,20.81,34.3,31.79,29.87,27.11,28.75,30.43,4.36,24.63,25.05,15.08,30.82,26.22,15.52,19.23,19.89,3.7,18.17,21.74,13.81,13.96,22.9,22.9,20.92,197.66,33.31,15.08,8.83,6.61,23.28,23.95,25.0,25.0,23.11,23.12,24.06
27.38,18.26,12.35,0.0,2.82,8.67,9.21,30.44,8.5,8.89,10.66,6.76,11.43,35.43,9.44,9.8,9.23,10.45,10.05,11.72,9.62,31.75,29.24,27.32,22.2,26.21,21.63,15.55,14.18,14.6,26.6,40.28,35.1,17.46,16.68,17.34,12.66,29.51,10.55,2.62,2.77,11.72,11.72,10.29,195.12,22.13,26.6,19.98,17.96,12.1,12.76,13.82,13.82,11.92,11.93,13.61
25.14,18.33,10.11,4.65,0.0,8.74,9.27,28.2,11.37,11.76,13.53,8.76,9.19,33.02,11.44,11.8,11.24,12.45,12.05,13.72,15.6,31.82,29.31,27.39,22.27,26.27,21.7,13.31,14.25,14.66,24.19,39.92,35.16,17.53,16.75,17.41,10.42,27.27,12.56,4.58,4.06,13.72,13.72,10.35,195.19,24.13,24.19,17.94,15.72,14.1,14.76,15.82,15.82,13.92,13.93,13.68
32.61,18.61,17.58,8.68,10.02,0.0,0.98,35.67,15.04,15.43,17.21,12.44,16.66,35.77,15.12,15.48,14.91,16.13,10.16,17.39,7.4,22.12,19.61,17.69,13.53,16.57,12.96,20.78,5.96,6.37,26.95,40.63,36.35,13.85,10.19,10.86,17.89,32.13,10.67,8.26,7.74,17.39,17.39,1.62,185.48,27.8,26.95,20.32,20.17,17.77,18.44,13.1,13.1,17.6,11.23,5.47
33.15,20.8,18.12,9.21,10.55,0.98,0.0,36.21,15.58,15.97,17.74,12.97,17.2,37.96,15.66,16.02,15.45,16.66,9.18,10.93,6.46,23.1,20.59,18.67,14.22,17.55,13.94,21.32,4.98,5.39,29.14,42.82,37.34,14.83,11.18,11.84,18.43,34.32,9.68,8.8,8.28,10.93,10.93,2.13,186.46,28.34,29.14,22.52,22.37,18.31,18.98,12.12,12.12,11.08,10.25,4.53
3.25,18.1,19.36,30.18,27.05,35.79,36.33,0.0,36.79,37.18,38.95,34.62,20.75,10.66,37.3,37.66,37.09,38.3,37.91,39.57,37.48,48.16,45.65,43.73,47.84,42.62,44.29,17.24,41.3,41.71,12.2,22.17,23.59,29.38,33.09,33.75,21.99,6.22,38.41,30.48,30.63,39.57,39.57,37.4,211.53,49.98,12.2,17.15,17.42,39.95,40.62,41.67,41.67,39.78,39.79,40.73
34.17,24.62,19.14,8.49,10.31,15.03,15.57,37.23,0.0,0.69,2.46,3.65,18.22,41.79,6.34,6.7,6.13,7.34,9.59,8.61,10.59,38.11,35.6,33.68,28.56,32.57,27.99,22.34,20.54,20.96,32.96,46.64,41.46,23.82,23.04,23.7,19.44,36.3,8.84,7.55,7.7,8.61,8.61,16.65,201.48,19.02,32.96,26.34,24.75,8.99,9.66,10.71,10.71,8.82,8.82,10.07
34.56,25.01,19.53,8.88,10.7,15.42,15.96,37.61,0.69,0.0,2.42,4.04,18.61,42.17,6.73,7.09,6.52,7.73,9.97,9.0,10.98,38.5,35.99,34.07,28.95,32.96,28.38,22.73,20.93,21.34,33.35,47.03,41.84,24.21,23.43,24.09,19.83,36.69,9.23,7.94,8.09,9.0,9.0,17.03,201.87,16.84,33.35,26.73,25.13,9.38,7.47,11.1,11.1,9.21,9.21,10.46
36.33,26.79,21.3,10.66,12.47,17.19,17.73,39.39,2.46,2.42,0.0,5.81,20.38,43.95,7.14,6.73,6.92,5.91,7.24,6.27,12.75,40.28,37.76,35.84,30.72,34.73,30.15,24.5,17.28,16.02,35.12,48.81,43.62,25.98,25.2,25.86,21.61,38.46,7.69,9.71,9.86,6.27,6.27,18.81,203.64,14.42,35.12,28.5,26.91,4.46,5.05,8.37,8.37,6.48,6.48,11.85
31.53,21.99,16.5,6.97,9.04,12.39,12.93,34.59,3.65,4.04,5.81,0.0,15.58,39.15,3.73,4.09,3.52,4.73,6.98,6.0,7.95,35.48,32.96,31.05,25.92,29.93,25.36,19.7,17.91,18.32,30.32,44.01,38.82,21.18,20.4,21.07,16.81,33.67,6.23,4.91,5.06,6.0,6.0,14.01,198.84,16.41,30.32,23.7,22.11,6.38,7.05,8.1,8.1,6.21,6.21,7.44
18.91,10.11,2.72,11.06,7.93,16.67,17.2,21.97,17.67,18.06,19.83,15.49,0.0,25.62,18.18,18.54,17.97,19.18,18.78,20.45,18.36,33.89,31.38,29.46,26.13,28.34,25.56,7.08,22.18,22.59,16.8,32.53,27.94,15.52,18.82,19.48,1.25,19.88,19.29,11.35,11.5,20.45,20.45,18.28,197.26,30.86,16.8,10.55,8.33,20.83,21.5,22.55,22.55,20.66,20.66,21.61
8.33,19.25,22.67,35.89,30.39,36.27,38.44,10.43,42.25,42.64,44.42,39.65,25.12,0.0,42.33,42.69,42.12,43.34,42.94,44.6,44.77,46.74,44.23,42.31,46.41,41.19,42.86,22.24,43.42,43.83,9.33,12.57,19.69,27.96,31.66,32.33,26.37,8.74,43.44,35.47,34.95,44.6,44.6,38.0,210.1,55.02,9.33,18.43,18.57,44.98,45.65,46.7,46.7,44.81,44.82,42.84
34.21,24.67,19.18,9.66,11.72,15.08,15.61,37.27,6.34,6.73,7.15,3.7,18.26,41.83,0.0,0.41,0.36,1.23,3.52,2.55,10.06,38.16,35.65,33.73,22.8,32.61,28.04,22.38,13.56,12.3,33.01,46.69,41.5,23.86,23.08,23.75,19.49,36.35,2.56,7.6,7.75,2.55,2.55,16.69,201.52,15.29,33.01,26.38,24.79,2.9,5.93,4.65,4.65,2.76,2.76,8.13
34.57,25.03,19.54,10.02,12.09,15.44,15.97,37.63,6.7,7.09,6.73,4.06,18.62,42.19,0.41,0.0,0.72,0.82,3.11,2.14,9.65,38.52,36.01,34.09,22.39,32.97,28.4,22.74,13.14,11.89,33.37,47.05,41.86,24.22,23.44,24.11,19.85,36.71,2.14,7.96,8.11,2.14,2.14,17.05,201.88,14.88,33.37,26.74,25.15,2.49,5.52,4.24,4.24,2.34,2.35,7.72
33.99,24.44,18.96,9.43,11.5,14.85,15.38,37.04,6.11,6.5,6.88,3.47,18.03,41.6,0.39,0.76,0.0,1.57,3.87,2.89,10.4,37.93,35.42,33.5,28.38,32.38,27.81,22.15,13.9,12.64,32.78,46.46,41.27,23.64,22.86,23.52,19.26,36.12,2.9,7.37,7.52,2.89,2.89,16.46,201.29,15.03,32.78,26.16,24.56,3.24,5.67,4.99,4.99,3.1,3.1,8.48
35.24,25.7,20.21,10.68,12.75,16.1,16.64,38.3,7.36,7.75,5.92,4.72,19.29,42.86,1.23,0.82,1.54,0.0,2.29,1.32,8.83,39.18,36.67,34.75,21.57,33.64,29.06,23.41,12.33,11.07,34.03,47.71,42.53,24.89,24.11,24.77,20.51,37.37,2.74,8.62,8.77,1.32,1.32,12.56,202.55,14.06,34.03,27.41,25.82,1.67,4.7,3.42,3.42,1.53,1.53,6.9
34.84,25.3,19.81,10.29,12.36,10.16,9.18,37.9,8.97,9.36,7.7,6.33,18.89,42.46,2.68,2.27,2.99,2.75,0.0,1.8,6.59,32.28,29.77,27.85,19.33,24.55,23.12,23.01,10.08,8.83,33.64,47.32,42.13,24.49,20.35,21.02,20.12,36.98,0.56,8.23,8.38,1.8,1.8,10.32,190.49,15.85,33.64,27.01,25.42,3.46,6.48,3.57,3.57,1.95,1.12,4.66
36.29,26.74,21.26,11.73,13.8,17.15,10.93,39.35,8.41,8.8,6.05,5.77,20.34,43.9,2.33,1.92,2.64,1.1,1.8,0.0,8.34,40.23,37.72,35.8,21.08,34.69,30.11,24.46,11.83,10.58,35.08,48.76,43.58,25.94,25.16,25.82,21.56,38.42,1.67,9.67,9.82,0.0,0.0,12.07,192.24,14.2,35.08,28.46,26.87,1.8,4.83,3.24,3.24,1.35,0.9,6.41
34.42,27.13,19.39,9.86,11.93,7.4,6.46,37.48,10.6,10.99,12.76,7.99,18.47,44.29,9.22,8.81,10.47,9.29,6.59,8.34,0.0,29.52,27.0,25.09,19.58,23.97,20.36,22.59,10.33,9.08,35.47,49.15,43.75,21.24,17.59,18.26,19.7,40.65,7.09,7.8,7.95,8.34,8.34,8.59,190.74,22.38,35.47,28.85,28.7,9.99,13.02,9.53,9.53,8.49,7.65,1.93
45.13,28.66,33.61,30.75,29.91,22.52,21.53,47.25,37.11,37.5,39.28,34.51,32.06,46.27,29.28,28.86,29.58,29.34,26.64,28.39,26.89,0.0,2.51,4.84,12.7,7.48,9.16,37.97,17.61,21.06,37.45,46.71,37.09,19.17,15.52,14.52,33.29,42.63,27.15,30.33,29.81,28.39,28.39,22.67,176.39,42.44,37.45,30.82,31.5,30.05,33.08,29.59,29.59,28.55,27.71,24.97
42.62,26.14,31.09,28.23,27.39,20.0,19.02,44.74,34.6,34.99,36.76,31.99,29.55,43.76,26.76,26.35,27.07,26.83,24.13,25.88,24.38,2.51,0.0,2.33,10.19,4.97,6.64,35.46,15.09,18.55,34.93,48.79,39.17,16.66,13.01,12.0,30.78,40.12,24.64,27.82,27.3,25.88,25.88,20.16,173.88,39.93,34.93,28.31,28.99,27.53,30.56,27.07,27.07,26.03,25.2,22.45
40.7,24.22,29.18,26.32,25.48,18.09,17.1,42.82,32.68,33.07,34.85,30.08,27.63,41.84,24.84,24.43,25.15,24.91,22.21,23.96,22.46,4.84,2.33,0.0,8.27,3.05,4.73,33.54,13.18,16.63,33.02,46.87,37.25,14.74,11.09,10.08,28.86,38.2,22.72,25.9,25.38,23.96,23.96,18.24,171.96,38.01,33.02,26.39,27.07,25.62,28.65,25.16,25.16,24.12,23.28,20.53
44.82,28.34,25.89,22.16,23.5,13.93,12.95,46.94,28.53,28.91,30.69,25.92,25.59,45.95,20.69,20.27,21.0,20.75,18.05,19.8,18.3,12.69,10.18,8.26,0.0,5.22,4.5,30.36,9.02,9.65,37.13,50.99,41.37,18.86,15.21,14.2,26.82,42.31,18.56,21.74,21.22,19.8,19.8,14.08,171.16,33.85,37.13,30.51,31.19,21.46,24.49,21.0,21.0,19.96,19.12,16.38
40.39,23.92,28.87,26.01,25.17,17.78,16.8,42.52,32.38,32.77,34.54,29.77,27.33,41.53,24.54,24.13,24.85,24.61,21.91,23.66,22.16,8.27,5.76,3.84,6.04,0.0,4.42,33.23,12.87,16.32,32.71,46.56,36.95,14.44,10.79,9.78,28.56,37.89,22.41,25.59,25.08,23.66,23.66,17.94,168.91,37.7,32.71,26.09,26.77,25.31,28.34,24.85,24.85,23.81,22.97,20.23
41.28,24.8,29.75,21.59,22.93,13.36,12.38,43.4,27.96,28.35,30.12,25.35,25.03,42.42,20.12,19.71,20.43,20.19,17.49,19.24,17.74,9.16,6.64,4.73,4.5,3.61,0.0,34.12,8.45,11.9,33.59,47.45,37.83,15.32,11.67,10.66,26.25,38.78,17.99,21.17,20.66,19.24,19.24,13.52,172.52,33.28,33.59,26.97,27.65,20.89,23.92,20.43,20.43,19.39,18.55,15.81
14.23,10.53,4.3,15.12,11.98,20.72,21.26,17.29,21.72,22.11,23.88,19.55,5.68,22.36,22.23,22.59,22.02,23.24,22.84,24.51,22.42,37.68,35.17,33.25,30.18,32.13,29.61,0.0,26.23,26.65,13.54,29.27,26.04,18.9,22.6,23.27,6.93,16.62,23.35,15.41,15.56,24.51,24.51,22.34,201.04,34.92,13.54,9.99,7.77,24.89,25.55,26.61,26.61,24.71,24.72,25.66
38.12,25.78,23.09,14.19,15.53,5.95,4.97,41.18,20.55,20.94,22.71,17.95,22.17,42.94,12.71,12.3,13.02,12.78,10.08,11.83,10.33,23.51,21.0,19.08,10.82,16.04,15.32,26.29,0.0,4.5,34.11,47.8,42.31,19.8,16.15,16.81,23.4,39.3,10.59,13.77,13.25,11.83,11.83,6.11,181.98,25.88,34.11,27.49,27.34,13.49,16.52,13.03,13.03,11.99,11.15,8.4
